Folder,PDFs,Matching Classes
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_AllLosses,0.20646402407591094,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_BasicLosses,0.1427664432336344,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MonthlyBasic,0.21013004791238876,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MonthlyLosses,0.5085557837097878,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MSE,0.7758365705944772,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_QuantileMapping,0.21423682409308692,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_AllLosses,0.29650764993107087,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_BasicLosses,0.15859016504013573,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MonthlyBasic,0.3655030800821355,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MonthlyLosses,0.4428473648186174,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MSE,0.7715771326751824,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_QuantileMapping,0.3278576317590691,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_AllLosses,0.126002709437672,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_BasicLosses,0.15999682171606083,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MonthlyBasic,0.7846924566646307,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MonthlyLosses,0.6947296372347707,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MSE,0.768400272884754,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_QuantileMapping,0.3216974674880219,
/file3\figures\agg.raw_CSIRO.MK3.0_R1_hist_LSTM_AllLosses,0.08891564320660317,
