Folder,PDFs,Matching Classes
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_AllLosses,0.16882729006887304,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_BasicLosses,0.1557497322886333,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MonthlyBasic,0.14026876096232987,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MonthlyLosses,0.2059994933155965,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_LSTM_MSE,0.49804657385644535,
/file3\figures\agg.raw_CCCMA3.1_R1_hist_QuantileMapping,0.08473744575211725,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_AllLosses,0.36962910764302215,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_BasicLosses,0.2693332982378361,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MonthlyBasic,0.15159884476524876,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MonthlyLosses,0.20838604442417472,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_LSTM_MSE,0.6299775473043738,
/file3\figures\agg.raw_CCCMA3.1_R2_hist_QuantileMapping,0.09638274776624312,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_AllLosses,0.11420925427981467,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_BasicLosses,0.16996608102052876,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MonthlyBasic,0.4417889397124035,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MonthlyLosses,0.31101762701889035,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_LSTM_MSE,0.4655045358975912,
/file3\figures\agg.raw_CCCMA3.1_R3_hist_QuantileMapping,0.08355591793797115,
/file3\figures\agg.raw_CSIRO.MK3.0_R1_hist_LSTM_AllLosses,0.35543505593188757,
/file3\figures\agg.raw_CSIRO.MK3.0_R1_hist_LSTM_BasicLosses,0.3666591837729914,
/file3\figures\agg.raw_CSIRO.MK3.0_R1_hist_LSTM_MonthlyBasic,0.23492217456247508,
